epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.104,0.91252,2.14092,3.70748,1.27482,0.4559,0.12974,0.09172,0.07196,0.46586,0.12867,0.09187,0.06762,0.87248,1.86715,2.55931,1.22458,0.00331197,0.00331197,0.00331197
2,291.13,0.80674,1.70958,2.42095,1.16307,0.44421,0.16319,0.12312,0.09503,0.44559,0.16158,0.12281,0.0884,0.9244,2.06456,2.40915,1.25816,0.00664523,0.00664523,0.00664523
3,392.109,0.84432,1.75778,2.2602,1.16546,0.3892,0.14314,0.07768,0.05717,0.39057,0.13949,0.0761,0.05076,1.08181,2.72489,3.07473,1.4101,0.00997824,0.00997824,0.00997824
4,503.012,0.92292,1.90832,2.31917,1.21353,0.36074,0.13369,0.08113,0.05871,0.36973,0.13141,0.08034,0.05445,1.08877,2.56603,2.8904,1.40339,0.00999912,0.00999912,0.00999912
5,923.325,0.92165,1.8658,2.23944,1.21335,0.50368,0.17765,0.14935,0.10872,0.49972,0.17915,0.14664,0.10017,1.0109,2.20734,2.29968,1.31719,0.00999844,0.00999844,0.00999844
6,1062.19,0.89064,1.81558,2.13378,1.18955,0.41726,0.19947,0.16187,0.12256,0.42649,0.19823,0.16139,0.11548,0.92447,2.03649,2.16365,1.24837,0.00999756,0.00999756,0.00999756
7,1166.46,0.87001,1.73737,2.04571,1.17884,0.40725,0.18757,0.1598,0.12218,0.41889,0.1868,0.15965,0.11588,0.9506,1.96844,2.2361,1.27149,0.00999648,0.00999648,0.00999648
8,1608.15,0.85081,1.7071,1.99443,1.16465,0.44776,0.23313,0.18758,0.14346,0.46101,0.22485,0.1863,0.13453,0.89194,1.91962,2.05547,1.23106,0.00999521,0.00999521,0.00999521
9,1733.84,0.83689,1.673,1.93754,1.15576,0.43492,0.21453,0.17041,0.133,0.45084,0.20156,0.16972,0.12545,0.90639,1.93378,2.17547,1.23742,0.00999375,0.00999375,0.00999375
10,2102.25,0.83195,1.659,1.90112,1.15216,0.36494,0.22028,0.17174,0.13381,0.35412,0.22123,0.17173,0.12651,0.88546,1.87672,2.31081,1.22951,0.00999209,0.00999209,0.00999209
11,2206.29,0.81283,1.60043,1.8457,1.14077,0.37197,0.23363,0.18228,0.14153,0.37367,0.23373,0.18329,0.13556,0.83641,1.79235,2.11023,1.18714,0.00999023,0.00999023,0.00999023
12,2306.9,0.80397,1.5893,1.81503,1.13719,0.44094,0.23064,0.20759,0.16277,0.46216,0.22605,0.2086,0.15535,0.84811,1.77199,1.94922,1.20538,0.00998818,0.00998818,0.00998818
13,2691.9,0.79424,1.56387,1.76695,1.12879,0.38033,0.238,0.19126,0.1489,0.39648,0.2288,0.19358,0.14129,0.86969,1.80596,2.0234,1.21104,0.00998594,0.00998594,0.00998594
14,2792.38,0.79204,1.55583,1.7551,1.12779,0.4197,0.25803,0.2308,0.181,0.41862,0.25402,0.22829,0.17036,0.82699,1.74432,1.86837,1.17402,0.0099835,0.0099835,0.0099835
15,3058.32,0.78222,1.5418,1.7296,1.12246,0.36692,0.26639,0.22525,0.17711,0.37163,0.26338,0.22647,0.16806,0.82111,1.69295,1.88421,1.16476,0.00998086,0.00998086,0.00998086
16,3158.84,0.77349,1.50725,1.6941,1.11453,0.41969,0.24778,0.22048,0.172,0.42033,0.2464,0.21975,0.16254,0.84919,1.79015,1.93565,1.19474,0.00997803,0.00997803,0.00997803
17,3264.77,0.7706,1.50618,1.67585,1.11191,0.40621,0.28183,0.24204,0.19024,0.40379,0.28232,0.23932,0.17973,0.81508,1.70558,1.84245,1.17577,0.00997501,0.00997501,0.00997501
18,3600.66,0.76323,1.48735,1.64759,1.10883,0.41186,0.26529,0.23559,0.18609,0.41184,0.26408,0.23438,0.17758,0.8321,1.72438,1.92632,1.19182,0.00997179,0.00997179,0.00997179
19,3701.23,0.75501,1.45557,1.61668,1.09902,0.39343,0.26441,0.24141,0.19192,0.39354,0.26583,0.23956,0.18061,0.80668,1.71127,1.8844,1.16231,0.00996838,0.00996838,0.00996838
20,3822.19,0.74929,1.44665,1.59251,1.10135,0.43199,0.27564,0.26123,0.21007,0.429,0.27449,0.25995,0.19848,0.79316,1.63558,1.78909,1.15615,0.00996477,0.00996477,0.00996477
21,3923.1,0.74428,1.43353,1.56109,1.09446,0.42221,0.28142,0.25866,0.20738,0.42733,0.28614,0.26004,0.19756,0.78474,1.63205,1.73538,1.14251,0.00996097,0.00996097,0.00996097
22,4030.1,0.73071,1.40881,1.55048,1.08793,0.40324,0.28389,0.26655,0.21158,0.39874,0.28471,0.26378,0.20075,0.78867,1.62372,1.79839,1.1517,0.00995697,0.00995697,0.00995697
23,4427.96,0.73214,1.4176,1.5278,1.08635,0.41754,0.29233,0.26983,0.2146,0.41242,0.2936,0.268,0.20471,0.78347,1.59758,1.76663,1.13936,0.00995278,0.00995278,0.00995278
24,4528.48,0.73096,1.40679,1.51783,1.08756,0.44305,0.2963,0.25811,0.207,0.44629,0.29292,0.2571,0.1971,0.7899,1.62461,1.75255,1.14871,0.0099484,0.0099484,0.0099484
25,4678.55,0.73198,1.40302,1.50242,1.0869,0.44127,0.29271,0.26436,0.21193,0.44041,0.29191,0.26445,0.2012,0.77618,1.63021,1.75551,1.14336,0.00994383,0.00994383,0.00994383
26,4781.65,0.72129,1.37558,1.47109,1.08002,0.4237,0.30267,0.27854,0.22459,0.42693,0.29958,0.27803,0.21312,0.76768,1.58674,1.71637,1.13762,0.00993906,0.00993906,0.00993906
27,4889.43,0.71615,1.36782,1.47044,1.07899,0.39931,0.29477,0.25897,0.2049,0.40067,0.29369,0.2589,0.19623,0.78748,1.62269,1.77886,1.15139,0.0099341,0.0099341,0.0099341
28,5313.55,0.71583,1.36389,1.45454,1.07507,0.45102,0.27983,0.27099,0.21693,0.45273,0.28066,0.27234,0.20599,0.78383,1.61542,1.7678,1.13753,0.00992894,0.00992894,0.00992894
29,5414.63,0.71013,1.34458,1.42404,1.07349,0.39581,0.29522,0.27795,0.22283,0.39476,0.29469,0.27597,0.21216,0.76219,1.56663,1.71606,1.1343,0.00992359,0.00992359,0.00992359
30,5520.82,0.70331,1.34758,1.41174,1.06903,0.40513,0.32597,0.29367,0.23796,0.40584,0.32854,0.29403,0.22512,0.75486,1.59157,1.69463,1.13431,0.00991805,0.00991805,0.00991805
31,5970.45,0.70616,1.34209,1.39574,1.06909,0.41907,0.30738,0.28832,0.23193,0.41433,0.31289,0.28926,0.21948,0.75994,1.57542,1.68941,1.12917,0.00991232,0.00991232,0.00991232
32,6071.1,0.69608,1.31704,1.38251,1.06324,0.4256,0.28824,0.27806,0.22844,0.43351,0.28618,0.27783,0.21596,0.75985,1.59979,1.81868,1.14754,0.0099064,0.0099064,0.0099064
33,6173.19,0.69572,1.31714,1.36758,1.06645,0.4318,0.30778,0.29286,0.23893,0.43032,0.30839,0.29447,0.22786,0.75025,1.54059,1.67468,1.11919,0.00990028,0.00990028,0.00990028
34,6555.77,0.6874,1.30673,1.34475,1.05981,0.40364,0.32127,0.28029,0.2271,0.40437,0.32363,0.28074,0.21668,0.76084,1.58243,1.72555,1.12685,0.00989398,0.00989398,0.00989398
35,6656.37,0.68998,1.30202,1.33929,1.05814,0.42632,0.30033,0.28534,0.23171,0.41672,0.29939,0.2838,0.22045,0.75708,1.59725,1.75463,1.12531,0.00988748,0.00988748,0.00988748
36,6763.7,0.68461,1.28596,1.31652,1.05346,0.38488,0.32026,0.29322,0.23953,0.38766,0.32057,0.29388,0.22777,0.74493,1.55067,1.68497,1.12804,0.00988079,0.00988079,0.00988079
37,7150.66,0.68474,1.27429,1.29821,1.05184,0.45238,0.29811,0.28876,0.235,0.45444,0.29945,0.28982,0.22183,0.75027,1.54303,1.68851,1.12155,0.00987391,0.00987391,0.00987391
38,7251.05,0.68246,1.28173,1.30175,1.05406,0.43172,0.31683,0.29588,0.23932,0.4313,0.31798,0.29732,0.22835,0.751,1.54757,1.68804,1.12842,0.00986684,0.00986684,0.00986684
39,7349.26,0.67904,1.27306,1.27498,1.04692,0.42152,0.30621,0.29461,0.23947,0.42222,0.3067,0.29431,0.22735,0.74034,1.56561,1.69174,1.12105,0.00985958,0.00985958,0.00985958
40,7448.99,0.67073,1.25638,1.25555,1.04845,0.44562,0.31616,0.29525,0.2419,0.44976,0.31736,0.29636,0.23024,0.75178,1.56526,1.72605,1.12847,0.00985213,0.00985213,0.00985213
41,7550.58,0.67673,1.26852,1.25871,1.05135,0.48492,0.29768,0.30447,0.24896,0.49267,0.29685,0.30633,0.23706,0.74433,1.55532,1.67779,1.12787,0.00984449,0.00984449,0.00984449
42,7890.1,0.66765,1.24308,1.2399,1.04291,0.39121,0.32291,0.29407,0.24019,0.39701,0.32149,0.29503,0.22695,0.74472,1.58189,1.71742,1.12534,0.00983666,0.00983666,0.00983666
43,7994.16,0.67168,1.24786,1.22686,1.04346,0.4251,0.3329,0.31487,0.256,0.42755,0.33307,0.31558,0.24197,0.73545,1.54686,1.62856,1.11571,0.00982864,0.00982864,0.00982864
44,8093.94,0.66307,1.22373,1.21466,1.04031,0.42691,0.32026,0.3018,0.24581,0.4347,0.32185,0.30275,0.23261,0.74498,1.56251,1.69,1.12539,0.00982043,0.00982043,0.00982043
45,8478.8,0.66343,1.23014,1.20229,1.03937,0.43796,0.31995,0.31051,0.25346,0.44008,0.32005,0.31187,0.23921,0.73382,1.52638,1.64564,1.10993,0.00981204,0.00981204,0.00981204
46,8579.64,0.66014,1.23092,1.19852,1.03811,0.45843,0.3222,0.30905,0.25197,0.45928,0.32373,0.31005,0.24029,0.73664,1.54629,1.69627,1.121,0.00980345,0.00980345,0.00980345
47,8687.15,0.65821,1.2157,1.1869,1.03847,0.40027,0.32899,0.30592,0.2475,0.40244,0.3311,0.3074,0.23517,0.73689,1.56371,1.67374,1.12114,0.00979468,0.00979468,0.00979468
48,9082.92,0.65278,1.20264,1.16829,1.03439,0.46731,0.32331,0.3142,0.25797,0.46457,0.32721,0.31438,0.24363,0.73072,1.55412,1.67306,1.11439,0.00978572,0.00978572,0.00978572
49,9185.18,0.6532,1.21912,1.16548,1.0342,0.4309,0.31091,0.30419,0.2491,0.43205,0.31002,0.30395,0.23502,0.73799,1.53676,1.69547,1.12267,0.00977658,0.00977658,0.00977658
50,9302.62,0.65138,1.20092,1.14869,1.0305,0.41766,0.32542,0.3102,0.25553,0.41892,0.32921,0.31111,0.24001,0.73284,1.57154,1.66501,1.11951,0.00976725,0.00976725,0.00976725
51,9730.05,0.6498,1.19701,1.13307,1.03031,0.40869,0.33868,0.31407,0.2574,0.40954,0.33881,0.31528,0.24382,0.72328,1.51892,1.64602,1.11108,0.00975773,0.00975773,0.00975773
52,9830.2,0.64491,1.19812,1.13494,1.02744,0.40766,0.32218,0.31751,0.2604,0.4009,0.32777,0.31694,0.24692,0.72794,1.51082,1.66103,1.1116,0.00974803,0.00974803,0.00974803
53,9927.77,0.64837,1.19102,1.11622,1.02911,0.40205,0.32193,0.31027,0.25421,0.40762,0.32581,0.31244,0.24167,0.72884,1.56394,1.66771,1.11467,0.00973814,0.00973814,0.00973814
54,10290,0.64174,1.18061,1.10415,1.02818,0.38797,0.33433,0.30937,0.25495,0.38917,0.33832,0.31065,0.2418,0.72092,1.52085,1.64846,1.10562,0.00972806,0.00972806,0.00972806
55,10390.7,0.64194,1.19007,1.10114,1.02479,0.44278,0.32548,0.31848,0.26176,0.44515,0.32784,0.31869,0.24815,0.71709,1.50945,1.62121,1.10609,0.0097178,0.0097178,0.0097178
56,10492.2,0.63439,1.16804,1.08449,1.01979,0.47062,0.31809,0.31769,0.26002,0.48049,0.3145,0.31823,0.24567,0.72341,1.51401,1.64173,1.10983,0.00970736,0.00970736,0.00970736
57,10946.2,0.63459,1.17386,1.079,1.01802,0.46075,0.31998,0.31201,0.25475,0.46262,0.32047,0.31077,0.24131,0.71854,1.53612,1.69373,1.11429,0.00969673,0.00969673,0.00969673
58,11047.4,0.62926,1.15122,1.05935,1.01653,0.43843,0.32336,0.31202,0.25607,0.44371,0.32636,0.31271,0.24188,0.72093,1.53712,1.67765,1.1062,0.00968592,0.00968592,0.00968592
59,11175.1,0.6353,1.16573,1.06843,1.02142,0.43542,0.35039,0.32653,0.26817,0.45298,0.34679,0.32758,0.25167,0.71868,1.49712,1.64219,1.10837,0.00967493,0.00967493,0.00967493
60,11315.5,0.63115,1.16102,1.04428,1.01582,0.49465,0.32058,0.32332,0.26612,0.49468,0.32439,0.32417,0.25124,0.71459,1.51842,1.62592,1.1057,0.00966375,0.00966375,0.00966375
61,11416.1,0.62739,1.15274,1.05129,1.01568,0.40247,0.33374,0.31761,0.26243,0.40467,0.33114,0.31731,0.24966,0.72459,1.51341,1.68573,1.11972,0.00965239,0.00965239,0.00965239
62,11823.4,0.63071,1.15944,1.04753,1.01881,0.41827,0.3461,0.32805,0.26923,0.45393,0.33487,0.32679,0.25511,0.72777,1.51251,1.63386,1.11122,0.00964085,0.00964085,0.00964085
63,12022.1,0.62754,1.15044,1.02872,1.01268,0.43982,0.31878,0.32511,0.26758,0.43959,0.31534,0.32233,0.25132,0.72095,1.54744,1.67307,1.11261,0.00962913,0.00962913,0.00962913
64,12137.4,0.62414,1.14398,1.02474,1.01277,0.44534,0.33589,0.32474,0.26625,0.45256,0.33621,0.32653,0.25337,0.71939,1.5059,1.65195,1.10972,0.00961723,0.00961723,0.00961723
65,12561.7,0.62357,1.13591,1.02932,1.01388,0.42944,0.32347,0.32,0.26423,0.42301,0.32426,0.31756,0.25046,0.7201,1.533,1.68318,1.11423,0.00960515,0.00960515,0.00960515
66,12670.3,0.62254,1.14286,1.00616,1.01256,0.40919,0.32731,0.32278,0.26706,0.41066,0.32595,0.32259,0.2535,0.7201,1.51565,1.66282,1.10802,0.00959289,0.00959289,0.00959289
67,12967.2,0.61782,1.12087,0.99238,1.01097,0.43133,0.34133,0.33243,0.27426,0.44223,0.33645,0.33248,0.26067,0.72412,1.54016,1.66664,1.12028,0.00958044,0.00958044,0.00958044
68,13068,0.62018,1.13114,0.99475,1.01072,0.4231,0.34242,0.32892,0.27273,0.4271,0.34247,0.33007,0.25652,0.7155,1.52827,1.63886,1.10158,0.00956782,0.00956782,0.00956782
69,13199.9,0.61598,1.12754,0.98598,1.00626,0.44176,0.33689,0.33156,0.27269,0.45095,0.33391,0.33148,0.25731,0.71606,1.50011,1.64865,1.1066,0.00955502,0.00955502,0.00955502
70,13299.5,0.62073,1.12966,0.97769,1.00833,0.47291,0.3249,0.33013,0.27113,0.47329,0.32512,0.33136,0.25725,0.71779,1.5211,1.63274,1.11367,0.00954205,0.00954205,0.00954205
71,13495.9,0.61386,1.11549,0.96755,1.00615,0.44927,0.32721,0.33452,0.2777,0.45082,0.32675,0.3347,0.26016,0.71311,1.53084,1.63574,1.10363,0.00952889,0.00952889,0.00952889
72,13596.8,0.61681,1.11386,0.97416,1.00834,0.4583,0.31193,0.32452,0.27033,0.46835,0.31531,0.32803,0.25645,0.71234,1.53066,1.66821,1.10762,0.00951556,0.00951556,0.00951556
73,13728.5,0.61184,1.1166,0.95613,1.00531,0.49725,0.31876,0.33561,0.27745,0.49925,0.31756,0.3354,0.26221,0.70992,1.49598,1.63606,1.1,0.00950206,0.00950206,0.00950206
74,13828.9,0.61022,1.10839,0.95287,1.00309,0.42008,0.3275,0.32908,0.27316,0.41899,0.32849,0.32931,0.25694,0.7142,1.53986,1.6454,1.10464,0.00948837,0.00948837,0.00948837
75,14007.6,0.60594,1.09947,0.93381,1.00173,0.47029,0.34214,0.34336,0.28387,0.47397,0.34131,0.34325,0.26849,0.71285,1.50234,1.64555,1.11113,0.00947452,0.00947452,0.00947452
76,14109.3,0.60793,1.09918,0.93098,1.00107,0.42491,0.33292,0.33029,0.27372,0.42577,0.33257,0.33091,0.25971,0.71701,1.57347,1.67989,1.11582,0.00946048,0.00946048,0.00946048
77,14273.8,0.605,1.0977,0.93401,1.00013,0.43973,0.34423,0.32987,0.27421,0.4409,0.34588,0.33167,0.25932,0.70509,1.53047,1.66594,1.09893,0.00944628,0.00944628,0.00944628
78,14405.8,0.60202,1.09302,0.92244,0.9983,0.41903,0.35683,0.33599,0.2789,0.42048,0.35875,0.33786,0.26361,0.70966,1.53696,1.68041,1.1084,0.00943189,0.00943189,0.00943189
79,14756.9,0.60242,1.08489,0.91754,0.99833,0.50035,0.32706,0.33954,0.2835,0.50149,0.32909,0.34077,0.26824,0.70807,1.50125,1.66447,1.10426,0.00941734,0.00941734,0.00941734
80,14859,0.59968,1.09155,0.91276,0.9964,0.44746,0.35101,0.33663,0.27971,0.44769,0.35087,0.33815,0.26365,0.70601,1.52715,1.66627,1.10608,0.00940262,0.00940262,0.00940262
81,14962.3,0.59956,1.07602,0.89595,0.99644,0.43645,0.34006,0.33519,0.27858,0.4368,0.34016,0.33589,0.26293,0.7051,1.49886,1.66533,1.10674,0.00938772,0.00938772,0.00938772
82,15286.6,0.59862,1.08237,0.89531,0.99555,0.46151,0.33163,0.33024,0.27578,0.46248,0.33256,0.33057,0.25992,0.70994,1.53843,1.66113,1.10615,0.00937265,0.00937265,0.00937265
83,15393.1,0.60037,1.08393,0.89782,0.99599,0.41075,0.34593,0.33376,0.27605,0.42468,0.3455,0.33327,0.26129,0.7133,1.51844,1.67151,1.11049,0.00935741,0.00935741,0.00935741
84,15531.6,0.59917,1.0758,0.89075,0.99424,0.42947,0.34058,0.33159,0.27599,0.45175,0.33012,0.33091,0.2603,0.70741,1.50003,1.6766,1.10704,0.009342,0.009342,0.009342
85,15632.2,0.5932,1.0698,0.88203,0.99313,0.46458,0.33255,0.34064,0.28233,0.47152,0.33299,0.34177,0.26691,0.70829,1.52389,1.67404,1.10871,0.00932642,0.00932642,0.00932642
86,15758.9,0.58956,1.06799,0.87378,0.98933,0.4688,0.33139,0.33831,0.28089,0.50618,0.32146,0.3387,0.26489,0.70396,1.51328,1.66034,1.10403,0.00931067,0.00931067,0.00931067
87,15887.4,0.5935,1.0686,0.8766,0.99128,0.4355,0.34171,0.33901,0.28362,0.44341,0.34329,0.34128,0.26851,0.70685,1.48956,1.65395,1.1056,0.00929476,0.00929476,0.00929476
88,16153.5,0.5948,1.07583,0.87715,0.99339,0.43766,0.33635,0.33675,0.28127,0.45245,0.33416,0.33879,0.26719,0.70537,1.51871,1.64937,1.10528,0.00927867,0.00927867,0.00927867
89,16255,0.59661,1.07482,0.87035,0.99115,0.40464,0.34971,0.33869,0.28137,0.40857,0.35081,0.34046,0.26792,0.70273,1.50843,1.65507,1.1039,0.00926242,0.00926242,0.00926242
90,16353.8,0.58616,1.05137,0.85942,0.99015,0.45431,0.33306,0.33212,0.27768,0.45606,0.33242,0.33207,0.26284,0.70825,1.52295,1.68835,1.11029,0.00924601,0.00924601,0.00924601
91,16741.4,0.58736,1.05596,0.85434,0.98476,0.42481,0.35724,0.34824,0.29013,0.46129,0.34129,0.34832,0.27472,0.7043,1.51912,1.65924,1.10422,0.00922942,0.00922942,0.00922942
92,16840.2,0.58844,1.05475,0.85708,0.98919,0.42856,0.33599,0.33765,0.28046,0.43426,0.33645,0.33947,0.26667,0.70386,1.50919,1.66742,1.10392,0.00921268,0.00921268,0.00921268
93,16942.8,0.58745,1.04906,0.84007,0.98637,0.4557,0.34017,0.34368,0.28599,0.46175,0.34136,0.34434,0.27056,0.70177,1.53922,1.65529,1.10307,0.00919576,0.00919576,0.00919576
94,17288.3,0.5882,1.06103,0.84901,0.99025,0.45625,0.34928,0.3389,0.28216,0.47074,0.34267,0.33881,0.26727,0.70084,1.53187,1.67049,1.10495,0.00917869,0.00917869,0.00917869
95,17415.4,0.58357,1.04788,0.84365,0.98506,0.4531,0.3436,0.33908,0.2836,0.45991,0.34339,0.34159,0.26879,0.70223,1.52605,1.68276,1.10371,0.00916145,0.00916145,0.00916145
96,17776.9,0.58535,1.04822,0.82864,0.98538,0.45754,0.34157,0.338,0.28233,0.45783,0.34102,0.3402,0.26651,0.69768,1.51612,1.64882,1.10076,0.00914405,0.00914405,0.00914405
97,17879.3,0.58428,1.03612,0.82974,0.98453,0.51748,0.33085,0.34297,0.28598,0.51926,0.33424,0.34518,0.27179,0.69557,1.51885,1.65784,1.09805,0.00912649,0.00912649,0.00912649
98,18160,0.58157,1.04145,0.82921,0.98688,0.48597,0.34645,0.34456,0.28834,0.4937,0.34799,0.34614,0.27299,0.70114,1.51152,1.6573,1.10129,0.00910876,0.00910876,0.00910876
99,18261.3,0.58694,1.05266,0.83165,0.98786,0.49575,0.33436,0.34364,0.28821,0.49915,0.33483,0.34431,0.27175,0.70242,1.52078,1.66589,1.10974,0.00909088,0.00909088,0.00909088
100,18440.9,0.58189,1.04789,0.81978,0.98249,0.49691,0.34031,0.34037,0.28465,0.51269,0.33728,0.33972,0.26853,0.69638,1.525,1.67219,1.10296,0.00907284,0.00907284,0.00907284
101,18541.6,0.58548,1.04178,0.81501,0.98381,0.47377,0.34474,0.34726,0.29091,0.4768,0.34365,0.34739,0.27475,0.69634,1.51987,1.66149,1.10115,0.00905463,0.00905463,0.00905463
